Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,days_post_drug,drug_dose,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR7642837,RNA-Seq,75,917833050,PRJNA484403,SAMN09764568,357516110,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 uM,SRX4506271,GSM3318567,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318567,H37Rv Mycobacterium tuberculosis,SRP156309
SRR7642838,RNA-Seq,75,779245950,PRJNA484403,SAMN09764567,304850294,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 uM,SRX4506272,GSM3318568,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318568,H37Rv Mycobacterium tuberculosis,SRP156309
SRR7642839,RNA-Seq,75,809328900,PRJNA484403,SAMN09764566,315996110,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 uM,SRX4506273,GSM3318569,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318569,H37Rv Mycobacterium tuberculosis,SRP156309
SRR7642840,RNA-Seq,75,959856450,PRJNA484403,SAMN09764565,374828566,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 uM,SRX4506274,GSM3318570,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318570,H37Rv Mycobacterium tuberculosis,SRP156309
SRR7642841,RNA-Seq,75,1235671725,PRJNA484403,SAMN09764564,486670631,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 uM,SRX4506275,GSM3318571,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318571,H37Rv Mycobacterium tuberculosis,SRP156309
SRR7642842,RNA-Seq,75,731340825,PRJNA484403,SAMN09764563,285755645,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,0 uM,SRX4506276,GSM3318572,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318572,H37Rv Mycobacterium tuberculosis,SRP156309
SRR7642843,RNA-Seq,75,1233611625,PRJNA484403,SAMN09764562,481050016,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,0 uM,SRX4506277,GSM3318573,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318573,H37Rv Mycobacterium tuberculosis,SRP156309
SRR7642844,RNA-Seq,75,1985522100,PRJNA484403,SAMN09764561,779166368,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,4 uM,SRX4506278,GSM3318574,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318574,H37Rv Mycobacterium tuberculosis,SRP156309
SRR7642845,RNA-Seq,75,1209835350,PRJNA484403,SAMN09764560,474292581,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1,4 uM,SRX4506279,GSM3318575,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318575,H37Rv Mycobacterium tuberculosis,SRP156309
SRR7642846,RNA-Seq,75,437593350,PRJNA484403,SAMN09764559,170292311,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,4 uM,SRX4506280,GSM3318576,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-09-25T00:00:00Z,GSM3318576,H37Rv Mycobacterium tuberculosis,SRP156309
